user_id,plan_type,monthly_revenue,churn_probability,risk_level,segment,recommendation
1,Starter,999,0.3042857142857142,Low,Normal Users,No Action Needed
2,Starter,999,0.3290714285714285,Low,At-Risk Users,No Action Needed
3,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
4,Professional,2999,0.2884880952380952,Low,Normal Users,No Action Needed
5,Starter,999,0.0,Low,Normal Users,No Action Needed
6,Starter,999,0.1375476827094473,Low,At-Risk Users,No Action Needed
7,Enterprise,9999,0.05,Low,Power Users,Upsell Enterprise Plan
8,Professional,2999,0.0405,Low,At-Risk Users,No Action Needed
9,Starter,999,0.0133333333333333,Low,At-Risk Users,No Action Needed
10,Starter,999,0.005,Low,At-Risk Users,No Action Needed
11,Enterprise,9999,0.659,Medium,Power Users,Email Engagement Campaign
12,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
13,Professional,2999,0.0,Low,Normal Users,No Action Needed
14,Starter,999,0.1679047619047619,Low,Normal Users,No Action Needed
15,Starter,999,0.0775,Low,Normal Users,No Action Needed
16,Starter,999,0.1657142857142857,Low,At-Risk Users,No Action Needed
17,Starter,999,0.4333809523809525,Low,At-Risk Users,No Action Needed
18,Starter,999,0.8324999999999999,High,At-Risk Users,Offer 20% Discount
19,Starter,999,0.3529523809523809,Low,At-Risk Users,No Action Needed
20,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
21,Starter,999,0.4178333333333333,Low,At-Risk Users,No Action Needed
22,Professional,2999,0.3458968253968252,Low,At-Risk Users,No Action Needed
23,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
24,Starter,999,0.4565000000000001,Low,At-Risk Users,No Action Needed
25,Enterprise,9999,0.0,Low,Power Users,Upsell Enterprise Plan
26,Professional,2999,0.84,High,At-Risk Users,Offer 20% Discount
27,Starter,999,0.04,Low,At-Risk Users,No Action Needed
28,Starter,999,0.5423333333333332,Medium,At-Risk Users,Provide Product Training
29,Professional,2999,0.1962499999999999,Low,At-Risk Users,No Action Needed
30,Professional,2999,0.0,Low,At-Risk Users,No Action Needed
