user_id,plan_type,monthly_revenue,total_usage,ticket_count,segment
1,Starter,999,161,3.0,Normal Users
2,Starter,999,175,2.0,At-Risk Users
3,Professional,2999,185,1.0,At-Risk Users
4,Professional,2999,248,4.0,Normal Users
5,Starter,999,144,3.0,Normal Users
6,Starter,999,172,1.0,At-Risk Users
7,Enterprise,9999,123,3.0,Power Users
8,Professional,2999,157,1.0,At-Risk Users
9,Starter,999,113,1.0,At-Risk Users
10,Starter,999,65,1.0,At-Risk Users
11,Enterprise,9999,181,0.0,Power Users
12,Enterprise,9999,135,3.0,Power Users
13,Professional,2999,118,3.0,Normal Users
14,Starter,999,105,3.0,Normal Users
15,Starter,999,81,5.0,Normal Users
16,Starter,999,104,1.0,At-Risk Users
17,Starter,999,188,2.0,At-Risk Users
18,Starter,999,69,0.0,At-Risk Users
19,Starter,999,122,1.0,At-Risk Users
20,Professional,2999,83,1.0,At-Risk Users
21,Starter,999,209,1.0,At-Risk Users
22,Professional,2999,133,2.0,At-Risk Users
23,Enterprise,9999,75,0.0,Power Users
24,Starter,999,56,1.0,At-Risk Users
25,Enterprise,9999,125,0.0,Power Users
26,Professional,2999,57,1.0,At-Risk Users
27,Starter,999,274,0.0,At-Risk Users
28,Starter,999,242,0.0,At-Risk Users
29,Professional,2999,157,2.0,At-Risk Users
30,Professional,2999,186,1.0,At-Risk Users
31,Enterprise,9999,180,3.0,Power Users
32,Starter,999,119,0.0,At-Risk Users
33,Starter,999,222,3.0,Normal Users
34,Starter,999,128,4.0,Normal Users
35,Professional,2999,182,2.0,At-Risk Users
36,Professional,2999,109,3.0,Normal Users
37,Starter,999,169,3.0,Normal Users
38,Starter,999,91,3.0,Normal Users
39,Starter,999,144,1.0,At-Risk Users
40,Professional,2999,166,1.0,At-Risk Users
41,Starter,999,164,4.0,Normal Users
42,Professional,2999,243,4.0,Normal Users
43,Professional,2999,74,4.0,Normal Users
44,Professional,2999,275,1.0,At-Risk Users
45,Professional,2999,112,2.0,At-Risk Users
46,Enterprise,9999,161,2.0,Power Users
47,Enterprise,9999,94,1.0,Power Users
48,Starter,999,238,3.0,Normal Users
49,Starter,999,136,2.0,At-Risk Users
50,Enterprise,9999,272,2.0,Power Users
51,Starter,999,168,2.0,At-Risk Users
52,Professional,2999,60,2.0,At-Risk Users
53,Starter,999,124,0.0,At-Risk Users
54,Starter,999,157,3.0,Normal Users
55,Starter,999,70,0.0,At-Risk Users
56,Professional,2999,178,2.0,At-Risk Users
57,Starter,999,152,2.0,At-Risk Users
58,Starter,999,97,1.0,At-Risk Users
59,Starter,999,158,0.0,At-Risk Users
60,Professional,2999,233,0.0,At-Risk Users
61,Starter,999,133,2.0,At-Risk Users
62,Starter,999,138,2.0,At-Risk Users
63,Starter,999,115,0.0,At-Risk Users
64,Starter,999,77,0.0,At-Risk Users
65,Starter,999,134,0.0,At-Risk Users
66,Starter,999,122,2.0,At-Risk Users
67,Starter,999,23,2.0,At-Risk Users
68,Starter,999,140,1.0,At-Risk Users
69,Professional,2999,90,2.0,At-Risk Users
70,Professional,2999,125,2.0,At-Risk Users
71,Professional,2999,262,1.0,At-Risk Users
