usage_id,user_id,feature_name,usage_count,usage_date
1,4890,Automation,3,2026-03-30
2,1210,Analytics,19,2025-12-27
3,3928,Integrations,25,2025-12-07
4,3167,Automation,23,2026-02-22
5,4469,Reports,20,2025-12-18
6,4637,Dashboard,3,2025-11-01
7,82,Automation,6,2025-12-22
8,4764,Analytics,12,2025-09-24
9,771,Integrations,28,2026-06-20
10,495,Analytics,14,2026-01-09
11,2889,Integrations,13,2026-06-07
12,3133,Automation,18,2025-08-19
13,1993,Reports,20,2026-04-19
14,3223,Exports,15,2026-03-19
15,240,Reports,6,2025-08-10
16,2279,Reports,25,2025-07-16
17,765,Analytics,26,2025-07-21
18,1272,Exports,16,2026-01-22
19,1114,Dashboard,24,2026-02-11
20,4634,Dashboard,7,2025-10-08
21,1759,Integrations,19,2026-03-18
22,3264,Exports,4,2025-10-07
23,465,Dashboard,25,2026-05-14
24,176,Analytics,23,2026-02-19
25,4822,Reports,18,2025-09-21
26,890,Automation,21,2026-02-07
27,2167,Dashboard,7,2025-07-28
28,182,Dashboard,29,2025-10-05
29,2057,Analytics,19,2026-01-15
30,60,Automation,30,2025-09-13
31,1014,Automation,6,2026-01-05
32,583,Integrations,29,2025-11-06
33,3902,Dashboard,23,2026-01-20
34,4080,Exports,24,2026-02-25
35,1702,Analytics,30,2026-04-10
36,4154,Automation,26,2025-08-25
37,2483,Automation,28,2025-10-28
38,3124,Automation,22,2026-01-14
39,2919,Integrations,27,2025-07-24
40,2385,Exports,3,2025-11-28
41,3193,Dashboard,25,2025-10-18
42,4705,Automation,23,2025-10-21
43,4295,Analytics,26,2025-09-23
44,2469,Integrations,24,2026-06-23
45,2204,Integrations,22,2025-09-21
46,121,Exports,9,2025-09-09
47,2705,Analytics,29,2025-12-02
48,1593,Dashboard,27,2025-07-10
49,4307,Dashboard,25,2025-09-14
50,4852,Integrations,7,2026-02-09
51,782,Dashboard,1,2025-08-26
52,3154,Exports,27,2026-05-24
53,2099,Dashboard,9,2025-11-02
54,2384,Automation,19,2025-09-21
55,2192,Integrations,11,2026-03-01
56,967,Dashboard,21,2025-06-23
57,3788,Analytics,5,2026-05-27
58,4548,Integrations,22,2025-11-08
59,963,Integrations,17,2026-02-15
60,714,Analytics,17,2026-04-15
61,4444,Automation,14,2026-03-18
62,4892,Automation,23,2025-12-27
63,2203,Exports,30,2026-06-10
64,3336,Reports,27,2025-07-08
65,759,Analytics,7,2025-07-08
66,2038,Dashboard,16,2026-05-10
67,2152,Exports,11,2025-07-20
68,1769,Automation,23,2026-04-29
69,4233,Exports,17,2025-10-22
70,2750,Exports,23,2025-10-19
71,1877,Reports,3,2026-02-27
72,2486,Integrations,28,2025-12-10
73,554,Integrations,29,2025-07-10
74,245,Reports,26,2025-12-27
75,4874,Reports,14,2026-02-11
76,3764,Automation,13,2026-02-06
77,3639,Reports,30,2025-10-26
78,3770,Dashboard,4,2025-12-20
79,576,Dashboard,24,2025-09-15
80,265,Exports,10,2026-05-27
81,4152,Dashboard,14,2025-08-02
82,2371,Exports,23,2025-06-28
83,1626,Exports,24,2026-04-04
84,2172,Reports,26,2026-03-29
85,3981,Automation,23,2025-08-07
86,2067,Reports,26,2025-12-03
87,821,Automation,28,2025-12-02
88,659,Dashboard,3,2026-04-09
89,4277,Integrations,11,2025-09-21
