subscription_id,user_id,plan_type,monthly_revenue,subscription_start,is_churned
1,1,Starter,999,2024-08-30,0
2,2,Starter,999,2025-10-29,0
3,3,Professional,2999,2025-09-16,0
4,4,Professional,2999,2025-01-31,0
5,5,Starter,999,2025-08-06,0
6,6,Starter,999,2026-06-15,0
7,7,Enterprise,9999,2024-11-27,0
8,8,Professional,2999,2025-06-25,0
9,9,Starter,999,2026-05-09,1
10,10,Starter,999,2025-01-12,0
11,11,Enterprise,9999,2026-01-10,1
12,12,Enterprise,9999,2025-03-18,0
13,13,Professional,2999,2024-12-16,0
14,14,Starter,999,2025-07-01,0
15,15,Starter,999,2026-06-05,0
16,16,Starter,999,2026-01-26,0
17,17,Starter,999,2024-07-19,1
18,18,Starter,999,2025-01-29,0
19,19,Starter,999,2024-12-27,1
20,20,Professional,2999,2025-02-04,0
21,21,Starter,999,2025-10-27,1
22,22,Professional,2999,2025-07-19,0
23,23,Enterprise,9999,2024-08-20,0
24,24,Starter,999,2024-08-14,0
25,25,Enterprise,9999,2025-12-17,0
26,26,Professional,2999,2025-09-20,1
27,27,Starter,999,2025-02-09,0
28,28,Starter,999,2025-08-24,0
29,29,Professional,2999,2025-12-24,0
30,30,Professional,2999,2025-11-25,0
31,31,Enterprise,9999,2024-11-14,0
32,32,Starter,999,2025-07-15,0
33,33,Starter,999,2026-01-14,0
34,34,Starter,999,2024-07-26,0
35,35,Professional,2999,2025-03-08,0
36,36,Professional,2999,2025-12-15,0
37,37,Starter,999,2025-04-16,0
38,38,Starter,999,2025-07-29,1
39,39,Starter,999,2025-09-02,0
40,40,Professional,2999,2025-07-17,0
41,41,Starter,999,2025-06-20,0
42,42,Professional,2999,2026-03-14,0
43,43,Professional,2999,2025-06-15,1
44,44,Professional,2999,2025-12-16,0
45,45,Professional,2999,2025-07-03,1
46,46,Enterprise,9999,2024-10-01,0
47,47,Enterprise,9999,2025-07-27,0
48,48,Starter,999,2026-04-06,1
49,49,Starter,999,2025-01-25,0
50,50,Enterprise,9999,2024-09-08,0
51,51,Starter,999,2026-05-19,1
52,52,Professional,2999,2026-01-28,0
53,53,Starter,999,2025-02-16,0
54,54,Starter,999,2024-09-12,0
55,55,Starter,999,2025-04-26,0
56,56,Professional,2999,2026-06-02,0
57,57,Starter,999,2026-05-02,0
58,58,Starter,999,2024-11-26,0
59,59,Starter,999,2025-01-14,0
60,60,Professional,2999,2025-01-26,1
61,61,Starter,999,2025-02-06,0
62,62,Starter,999,2025-03-14,0
63,63,Starter,999,2025-09-20,0
64,64,Starter,999,2026-02-28,0
65,65,Starter,999,2024-09-18,0
66,66,Starter,999,2025-02-24,0
67,67,Starter,999,2026-06-11,0
68,68,Starter,999,2025-05-12,1
69,69,Professional,2999,2025-06-01,0
70,70,Professional,2999,2025-08-25,0
71,71,Professional,2999,2025-12-14,0
72,72,Starter,999,2025-02-11,1
73,73,Professional,2999,2025-12-23,0
74,74,Professional,2999,2025-07-01,0
75,75,Professional,2999,2024-12-17,0
76,76,Professional,2999,2026-06-04,0
77,77,Professional,2999,2025-11-05,0
78,78,Professional,2999,2025-10-24,0
79,79,Starter,999,2024-06-23,0
80,80,Starter,999,2025-06-14,0
81,81,Starter,999,2026-02-01,1
82,82,Professional,2999,2026-04-30,0
83,83,Enterprise,9999,2025-12-03,0
84,84,Enterprise,9999,2024-11-06,0
85,85,Professional,2999,2024-10-07,1
86,86,Professional,2999,2025-04-01,0
87,87,Starter,999,2024-11-08,0
88,88,Enterprise,9999,2025-01-15,0
89,89,Starter,999,2024-09-25,0
90,90,Professional,2999,2025-06-29,0
91,91,Starter,999,2024-11-04,0
92,92,Starter,999,2025-10-23,1
93,93,Enterprise,9999,2025-08-16,0
94,94,Professional,2999,2026-06-17,0
95,95,Enterprise,9999,2025-11-08,0
96,96,Professional,2999,2025-08-11,1
97,97,Professional,2999,2026-04-22,0
98,98,Professional,2999,2026-06-16,0
99,99,Starter,999,2026-01-11,1
100,100,Starter,999,2024-11-02,0
101,101,Professional,2999,2024-08-20,0
102,102,Professional,2999,2024-11-10,0
103,103,Professional,2999,2025-06-26,0
104,104,Professional,2999,2026-02-02,0
105,105,Professional,2999,2025-01-13,0
106,106,Starter,999,2025-04-22,1
107,107,Starter,999,2025-12-17,0
108,108,Starter,999,2024-12-24,1
109,109,Enterprise,9999,2025-03-12,0
110,110,Professional,2999,2025-05-23,1
111,111,Professional,2999,2024-07-15,0
112,112,Professional,2999,2025-08-19,0
113,113,Starter,999,2026-03-30,0
114,114,Enterprise,9999,2025-03-09,0
115,115,Professional,2999,2024-12-18,0
116,116,Starter,999,2024-12-12,0
117,117,Professional,2999,2025-01-31,0
118,118,Starter,999,2026-03-23,0
119,119,Starter,999,2025-09-06,0
120,120,Starter,999,2024-08-30,0
121,121,Starter,999,2025-09-22,0
122,122,Starter,999,2024-12-26,1
123,123,Starter,999,2025-02-02,1
124,124,Starter,999,2026-06-06,0
125,125,Enterprise,9999,2026-01-25,0
126,126,Starter,999,2024-10-06,0
127,127,Starter,999,2025-06-10,1
128,128,Starter,999,2025-10-03,0
129,129,Starter,999,2026-04-10,0
130,130,Starter,999,2025-04-11,0
131,131,Starter,999,2025-09-19,0
132,132,Enterprise,9999,2025-01-09,0
133,133,Starter,999,2026-04-30,0
134,134,Starter,999,2024-10-08,0
135,135,Enterprise,9999,2025-04-15,0
136,136,Starter,999,2026-06-05,0
137,137,Starter,999,2026-02-23,0
138,138,Starter,999,2025-04-15,1
139,139,Professional,2999,2025-04-11,0
140,140,Starter,999,2025-12-11,0
141,141,Starter,999,2024-12-31,1
142,142,Starter,999,2025-02-18,0
143,143,Professional,2999,2025-02-09,0
144,144,Starter,999,2026-04-22,0
145,145,Starter,999,2025-08-10,0
146,146,Starter,999,2025-01-28,0
147,147,Starter,999,2025-04-22,0
148,148,Starter,999,2025-05-05,0
149,149,Professional,2999,2025-03-18,0
150,150,Enterprise,9999,2025-11-19,0
151,151,Enterprise,9999,2026-01-07,0
152,152,Enterprise,9999,2026-01-03,0
153,153,Starter,999,2025-06-06,0
154,154,Starter,999,2025-11-05,0
155,155,Enterprise,9999,2025-04-01,1
156,156,Starter,999,2025-02-28,0
157,157,Professional,2999,2025-06-06,0
158,158,Starter,999,2026-04-09,0
159,159,Professional,2999,2025-03-08,0
160,160,Starter,999,2026-01-13,0
161,161,Starter,999,2026-03-25,0
162,162,Enterprise,9999,2024-07-28,0
163,163,Enterprise,9999,2025-05-02,0
164,164,Starter,999,2024-07-25,0
165,165,Starter,999,2026-01-19,0
166,166,Starter,999,2026-02-10,0
167,167,Professional,2999,2025-09-23,0
168,168,Starter,999,2026-02-12,1
169,169,Starter,999,2024-07-11,0
170,170,Starter,999,2024-07-02,1
171,171,Professional,2999,2024-11-28,0
172,172,Starter,999,2026-01-28,0
173,173,Professional,2999,2025-03-25,0
174,174,Enterprise,9999,2025-01-16,0
175,175,Starter,999,2026-06-21,0
176,176,Starter,999,2025-10-12,1
177,177,Enterprise,9999,2025-03-03,0
178,178,Starter,999,2025-06-12,0
179,179,Starter,999,2024-12-12,0
180,180,Professional,2999,2026-06-23,1
181,181,Professional,2999,2025-09-19,0
182,182,Professional,2999,2026-01-08,0
183,183,Starter,999,2025-07-15,1
184,184,Starter,999,2025-08-05,0
185,185,Starter,999,2025-03-02,1
186,186,Professional,2999,2026-05-17,1
187,187,Starter,999,2025-10-07,0
188,188,Starter,999,2025-05-14,0
189,189,Professional,2999,2024-06-29,0
190,190,Professional,2999,2025-07-15,1
191,191,Enterprise,9999,2025-06-02,1
192,192,Starter,999,2024-07-13,1
193,193,Professional,2999,2024-08-27,0
194,194,Starter,999,2024-12-12,0
195,195,Enterprise,9999,2024-09-12,0
196,196,Enterprise,9999,2025-09-21,0
197,197,Starter,999,2025-03-06,0
198,198,Starter,999,2025-05-17,0
199,199,Starter,999,2025-09-06,0
200,200,Starter,999,2025-07-03,1
201,201,Starter,999,2024-08-11,0
202,202,Starter,999,2025-01-11,0
203,203,Starter,999,2025-09-13,0
204,204,Starter,999,2025-04-02,0
205,205,Starter,999,2026-03-11,0
206,206,Enterprise,9999,2024-08-05,0
207,207,Professional,2999,2025-01-12,0
208,208,Professional,2999,2025-07-09,0
209,209,Starter,999,2024-10-31,0
210,210,Professional,2999,2025-08-26,0
211,211,Starter,999,2025-03-25,0
212,212,Starter,999,2024-06-27,0
213,213,Starter,999,2024-11-06,1
214,214,Starter,999,2025-06-29,0
215,215,Starter,999,2026-02-07,0
216,216,Starter,999,2026-03-02,0
217,217,Professional,2999,2025-08-01,0
218,218,Professional,2999,2026-03-30,0
219,219,Professional,2999,2026-05-15,0
220,220,Starter,999,2025-11-18,0
221,221,Starter,999,2025-02-21,1
222,222,Professional,2999,2025-02-02,0
223,223,Starter,999,2025-05-11,0
224,224,Professional,2999,2024-12-22,0
225,225,Starter,999,2025-11-20,1
226,226,Starter,999,2025-04-26,0
227,227,Starter,999,2026-02-01,0
228,228,Starter,999,2025-12-29,0
229,229,Starter,999,2025-04-03,0
230,230,Starter,999,2024-12-21,0
231,231,Starter,999,2024-08-12,0
232,232,Starter,999,2026-03-18,1
233,233,Starter,999,2026-06-18,1
234,234,Enterprise,9999,2025-07-31,0
235,235,Starter,999,2025-10-19,0
236,236,Starter,999,2025-08-28,1
237,237,Starter,999,2025-10-02,0
238,238,Starter,999,2025-09-28,0
239,239,Starter,999,2025-08-12,0
240,240,Professional,2999,2025-08-25,0
241,241,Starter,999,2024-11-13,0
242,242,Starter,999,2025-10-07,0
243,243,Starter,999,2025-04-19,1
244,244,Enterprise,9999,2025-07-26,0
245,245,Professional,2999,2024-10-29,0
246,246,Starter,999,2024-07-24,1
247,247,Professional,2999,2025-07-30,0
248,248,Starter,999,2025-04-30,1
249,249,Starter,999,2025-02-24,1
250,250,Starter,999,2025-02-04,1
251,251,Professional,2999,2025-04-03,0
252,252,Starter,999,2025-08-02,0
253,253,Professional,2999,2024-09-19,1
254,254,Starter,999,2025-12-15,1
255,255,Starter,999,2026-04-07,1
256,256,Enterprise,9999,2026-04-16,0
257,257,Starter,999,2026-02-19,0
258,258,Professional,2999,2026-03-02,0
259,259,Starter,999,2024-08-31,0
260,260,Starter,999,2026-03-25,1
261,261,Professional,2999,2024-07-04,0
262,262,Professional,2999,2025-04-04,0
263,263,Starter,999,2024-10-29,1
264,264,Starter,999,2025-09-12,1
265,265,Starter,999,2024-10-24,0
266,266,Starter,999,2025-10-17,0
267,267,Enterprise,9999,2025-07-27,0
268,268,Starter,999,2025-10-23,1
269,269,Enterprise,9999,2025-12-29,0
270,270,Starter,999,2025-12-22,0
271,271,Starter,999,2024-06-23,0
272,272,Enterprise,9999,2025-08-19,0
273,273,Enterprise,9999,2025-10-13,0
274,274,Professional,2999,2025-02-11,1
275,275,Starter,999,2025-07-22,1
276,276,Starter,999,2025-04-01,1
277,277,Enterprise,9999,2026-05-20,0
278,278,Starter,999,2024-12-22,0
279,279,Starter,999,2024-11-27,1
280,280,Starter,999,2026-05-16,0
281,281,Starter,999,2025-04-06,0
282,282,Starter,999,2025-02-11,0
