ticket_id,user_id,ticket_text,created_date,resolved_date
1,4518,Feature request for automation,2025-08-14,2025-08-16
2,2490,Dashboard loads slowly,2025-12-20,2025-12-21
3,3907,Payment failed unexpectedly,2025-10-21,2025-10-31
4,4605,Unable to login,2025-12-19,2025-12-26
5,2383,Unable to login,2026-01-04,2026-01-07
6,2339,Unable to login,2025-09-20,2025-09-22
7,2824,Analytics report incorrect,2026-03-17,2026-03-24
8,3961,Data sync problem,2025-12-05,2025-12-12
9,149,Need export functionality,2025-08-02,2025-08-03
10,4736,Data sync problem,2026-05-12,2026-05-13
11,3158,Data sync problem,2025-09-10,2025-09-20
12,1386,Analytics report incorrect,2026-02-18,2026-02-27
13,4627,Integration not working,2026-01-29,2026-02-08
14,4016,Feature request for automation,2025-06-23,2025-06-28
15,2913,Billing issue detected,2025-08-17,2025-08-22
16,214,Dashboard loads slowly,2025-08-06,2025-08-10
17,3482,Payment failed unexpectedly,2025-11-20,2025-11-24
18,3041,Data sync problem,2026-02-12,2026-02-20
19,4304,Dashboard loads slowly,2025-10-03,2025-10-13
20,3799,Data sync problem,2026-05-31,2026-06-10
21,4926,Integration not working,2025-12-27,2026-01-06
22,870,Payment failed unexpectedly,2026-01-30,2026-02-04
23,4940,Unable to login,2025-11-21,2025-11-30
24,66,Integration not working,2026-04-11,2026-04-17
25,3591,Payment failed unexpectedly,2026-05-21,2026-05-31
26,1094,Billing issue detected,2026-03-26,2026-03-29
27,1969,Feature request for automation,2026-02-28,2026-03-10
28,1340,Billing issue detected,2025-07-30,2025-08-06
29,2276,Unable to login,2025-08-30,2025-09-08
30,940,Application crashes frequently,2025-08-17,2025-08-21
31,3528,Data sync problem,2025-12-28,2026-01-02
32,2784,Data sync problem,2026-05-26,2026-05-29
33,369,Application crashes frequently,2025-10-03,2025-10-10
34,4287,Integration not working,2026-06-10,2026-06-16
35,2183,Application crashes frequently,2025-11-02,2025-11-04
36,1621,Data sync problem,2026-01-10,2026-01-18
37,37,Feature request for automation,2026-05-25,2026-05-26
38,1819,Billing issue detected,2026-06-15,2026-06-17
39,3042,Analytics report incorrect,2026-06-22,2026-07-01
40,2603,Need export functionality,2025-09-22,2025-10-02
41,4899,Payment failed unexpectedly,2025-10-16,2025-10-21
42,228,Application crashes frequently,2026-02-12,2026-02-14
43,4551,Payment failed unexpectedly,2025-10-21,2025-10-29
44,225,Need export functionality,2025-07-23,2025-07-31
45,4148,Dashboard loads slowly,2025-09-15,2025-09-19
46,2780,Need export functionality,2026-04-20,2026-04-24
47,2153,Billing issue detected,2025-10-18,2025-10-20
48,2480,Application crashes frequently,2025-07-19,2025-07-26
49,2422,Data sync problem,2026-02-04,2026-02-09
50,4690,Billing issue detected,2026-05-11,2026-05-18
51,505,Feature request for automation,2025-12-14,2025-12-20
52,1614,Payment failed unexpectedly,2025-09-05,2025-09-12
53,181,Data sync problem,2026-01-31,2026-02-04
54,423,Data sync problem,2026-02-13,2026-02-14
55,3621,Dashboard loads slowly,2025-08-08,2025-08-13
56,4035,Integration not working,2026-04-15,2026-04-22
57,121,Analytics report incorrect,2025-10-17,2025-10-26
58,2106,Feature request for automation,2025-12-01,2025-12-04
59,4674,Data sync problem,2025-11-15,2025-11-23
60,3800,Application crashes frequently,2026-02-21,2026-02-22
61,4963,Data sync problem,2026-04-30,2026-05-09
62,2665,Billing issue detected,2026-05-08,2026-05-11
63,3936,Feature request for automation,2025-08-27,2025-09-02
64,2677,Need export functionality,2025-07-01,2025-07-03
65,569,Feature request for automation,2026-03-30,2026-04-04
66,625,Billing issue detected,2025-09-18,2025-09-21
67,1562,Payment failed unexpectedly,2025-12-01,2025-12-07
68,1076,Unable to login,2025-08-09,2025-08-15
69,1753,Unable to login,2025-11-05,2025-11-08
70,2369,Payment failed unexpectedly,2025-07-06,2025-07-11
71,4970,Application crashes frequently,2026-02-22,2026-02-28
72,4892,Billing issue detected,2026-03-31,2026-04-09
73,3693,Payment failed unexpectedly,2025-12-26,2025-12-27
74,878,Analytics report incorrect,2025-07-02,2025-07-03
75,2541,Dashboard loads slowly,2026-01-23,2026-01-31
76,4764,Billing issue detected,2025-12-19,2025-12-29
77,1093,Billing issue detected,2025-09-11,2025-09-12
78,3431,Analytics report incorrect,2026-05-22,2026-06-01
79,2551,Unable to login,2025-09-26,2025-10-04
80,520,Payment failed unexpectedly,2026-04-12,2026-04-21
81,2901,Integration not working,2025-08-08,2025-08-17
82,307,Feature request for automation,2026-04-09,2026-04-15
83,2224,Unable to login,2026-03-29,2026-03-31
84,1329,Application crashes frequently,2025-07-25,2025-07-28
85,1077,Data sync problem,2025-12-02,2025-12-07
86,598,Need export functionality,2026-01-01,2026-01-06
87,2516,Need export functionality,2025-07-21,2025-07-26
88,4865,Dashboard loads slowly,2026-06-11,2026-06-16
89,1843,Dashboard loads slowly,2025-09-09,2025-09-15
