user_id,signup_date,country,industry,company_size
1,2025-12-06,Kenya,Education,Small
2,2026-01-19,Poland,Finance,Medium
3,2023-12-12,Bolivia,Education,Large
4,2025-01-04,Turks and Caicos Islands,Healthcare,Small
5,2025-08-06,Haiti,Retail,Small
6,2026-02-16,United Arab Emirates,Technology,Medium
7,2024-07-03,Germany,Healthcare,Medium
8,2024-11-17,Netherlands Antilles,Technology,Large
9,2025-10-04,Puerto Rico,Retail,Large
10,2024-10-03,Haiti,Technology,Medium
11,2024-04-08,Congo,Healthcare,Large
12,2023-09-10,Singapore,Technology,Medium
13,2023-07-28,Poland,Technology,Large
14,2026-02-20,Serbia,Finance,Medium
15,2023-10-24,Uzbekistan,Technology,Medium
16,2025-09-07,Cyprus,Finance,Large
17,2025-08-29,Trinidad and Tobago,Technology,Small
18,2025-03-10,Guinea,Education,Large
19,2025-07-02,India,Technology,Large
20,2025-07-28,Palestinian Territory,Finance,Large
21,2024-07-21,Faroe Islands,Finance,Medium
22,2024-07-05,Singapore,Technology,Large
23,2024-04-05,Kazakhstan,Technology,Medium
24,2025-09-28,Australia,Education,Medium
25,2024-01-26,Russian Federation,Retail,Large
26,2024-03-25,American Samoa,Finance,Medium
27,2023-08-07,Iraq,Technology,Large
28,2023-07-11,Rwanda,Education,Medium
29,2024-04-17,United Kingdom,Retail,Medium
30,2024-04-09,Namibia,Education,Large
31,2023-06-24,Saint Kitts and Nevis,Education,Medium
32,2023-09-23,Oman,Retail,Large
33,2024-08-23,South Georgia and the South Sandwich Islands,Technology,Small
34,2025-01-18,United Arab Emirates,Finance,Small
35,2025-05-17,Mali,Finance,Medium
36,2024-12-01,Hungary,Healthcare,Medium
37,2024-12-31,France,Technology,Small
38,2025-09-15,Puerto Rico,Technology,Large
39,2024-12-29,Cambodia,Technology,Small
40,2026-05-27,Cyprus,Technology,Medium
41,2024-06-30,Isle of Man,Finance,Medium
42,2026-01-30,Montserrat,Finance,Large
43,2024-01-18,Vietnam,Healthcare,Medium
44,2026-04-09,United States Minor Outlying Islands,Technology,Large
45,2024-06-04,Guatemala,Healthcare,Medium
46,2025-01-01,Monaco,Healthcare,Small
47,2025-09-20,Ukraine,Education,Small
48,2026-05-07,Burkina Faso,Healthcare,Small
49,2023-06-24,Falkland Islands (Malvinas),Retail,Large
50,2025-09-19,Cape Verde,Education,Small
51,2026-01-14,United States of America,Finance,Medium
52,2025-03-23,Ghana,Finance,Small
53,2023-11-18,Palau,Technology,Medium
54,2025-07-01,Guinea,Education,Large
55,2024-08-13,Ghana,Technology,Large
56,2024-03-03,Ethiopia,Education,Small
57,2024-04-25,Trinidad and Tobago,Healthcare,Small
58,2023-06-28,Seychelles,Retail,Large
59,2023-07-10,Jamaica,Finance,Medium
60,2025-04-07,Guinea,Education,Small
61,2024-03-18,Saint Helena,Technology,Medium
